Time,her_sp_Estimate,her_sp_SE,her_fa_Estimate,her_fa_SE
1982,9958653678.07733,521824198.190792,6212007324.77859,408390129.610881
1983,10788653590.5248,550230720.346057,6800061391.6354,472026947.236597
1984,10793705051.8087,501168921.472722,6345801641.62282,392534292.735385
1985,9158291803.3011,513394054.947928,7106282844.57361,487133546.568854
1986,8853436995.82702,406070766.856911,6666160571.41789,378869236.563508
1987,6879448255.49811,325029680.175841,4634784253.94042,283912857.808295
1988,10534643914.6575,606353868.187806,5337657790.70471,308475026.810542
1989,12745207397.9512,2013541817.0822,9150980480.57278,879592552.81911
1990,11977083177.1209,1766483097.20226,9125696342.38468,913829730.46958
1991,9316608653.46281,617619161.234693,7446039700.99557,487204020.996966
1992,10318603294.0565,965864365.398173,5679404124.94073,426007334.035163
1993,9656330912.47137,608996830.917913,8172785936.73929,487840776.892244
1994,17845312234.7429,1578096162.47716,15968800758.087,1556055094.8269
1995,7089933141.785,501666500.432967,6154686905.46897,485679872.97434
1996,20388949386.4498,1426385624.41482,16055799291.4574,1355325549.83789
1997,16007194101.1164,1014969457.03612,12022550739.1623,894308014.400477
1998,17066353438.7594,1404970243.40708,13090387601.018,1249391217.14364
1999,12770031476.1532,798825536.687728,9873557064.39804,686607385.813336
2000,17976470591.9964,1161897644.63021,15345387220.5006,1116714838.98368
2001,7597928182.98728,484146921.077139,6088119161.82719,454180887.762776
2002,12693491792.4165,754921680.28088,10338058628.0951,717767180.032202
2003,7388549941.19406,518224068.938803,6098415060.50151,477358633.404486
2004,8008992035.06005,484277568.157904,5676333289.08468,421946415.80138
2005,3369565891.05668,229670950.461153,2537307258.07107,206599932.143254
2006,12847899994.6962,860991728.163791,10439124846.3072,819106793.78425
2007,5785561819.68883,397223405.33425,4538185603.75741,370084102.654636
2008,9275389478.68984,531614154.09458,5877268345.40634,408586949.534692
2009,7815838548.58791,502957427.228872,5880479437.50473,465118456.57538
2010,9685195968.60164,598052765.847921,7661999880.07594,551150818.73154
2011,11431636082.4328,804195913.586002,8007963594.28154,712805464.981573
2012,14314406309.0915,1027809295.63605,12460105716.5324,1011001169.45833
2013,12654273165.3269,896212440.516999,10193031736.8773,831058837.704993
2014,11053506440.8198,901790457.386581,9418019844.98211,881117349.66196
2015,14967878766.3245,1209642517.23289,13450414415.0201,1190232885.07639
2016,12586241531.8204,1052294163.63343,9433338108.15346,980624139.329276
2017,13122015618.2458,1717647124.94529,11991093893.1136,1671668258.24605
2018,10970582960.3983,1026847277.42398,8780150160.98107,1001534824.44987
2019,12397874672.1343,961528039.549317,10178592639.4469,934665051.208483
2020,0,0,0,0
2021,10466861314.5562,814944917.520644,9253159774.54641,803934916.717151
2022,12486922980.5008,1244852145.43606,11067328631.823,1216713369.84828
